iter	Passed	Remaining
0	1	109
1	1	66
2	1	53
3	1	46
4	2	41
5	2	38
6	2	36
7	3	35
8	3	35
9	3	33
10	4	32
11	4	31
12	4	31
13	5	30
14	5	30
15	5	29
16	6	29
17	6	29
18	6	28
19	6	27
20	7	27
21	7	27
22	7	26
23	8	25
24	8	25
25	8	24
26	9	24
27	9	24
28	9	23
29	9	23
30	10	22
31	10	22
32	10	21
33	11	21
34	11	20
35	11	20
36	11	20
37	12	19
38	12	19
39	12	19
40	12	18
41	13	17
42	13	17
43	13	17
44	14	17
45	14	16
46	14	16
47	14	16
48	15	15
49	15	15
50	15	15
51	16	14
52	16	14
53	16	14
54	16	13
55	17	13
56	17	13
57	17	12
58	18	12
59	18	12
60	18	11
61	18	11
62	19	11
63	19	11
64	20	10
65	20	10
66	20	10
67	20	9
68	21	9
69	21	9
70	21	8
71	22	8
72	22	8
73	22	8
74	23	7
75	23	7
76	23	7
77	24	6
78	24	6
79	24	6
80	25	5
81	25	5
82	25	5
83	26	4
84	26	4
85	26	4
86	26	4
87	27	3
88	27	3
89	28	3
90	28	2
91	28	2
92	29	2
93	29	1
94	29	1
95	29	1
96	30	0
97	30	0
98	30	0
99	31	0
